EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
ALL METAL SERVICES LIMITED,"Unit 6 Horton Industrial Park,
Horton Road,
West Drayton,
Middlesex,
United Kingdom,
UB7 8JD",1159685,46140,4,-5,100,100,1.7,0,86,14,78,22,68,32,74,26,,Nichola Brierley (Payroll Manager),250 to 499,ALL METAL SERVICES LIMITED,FALSE
ALL SAINTS RETAIL LIMITED,"Jack's Place Units C15-C17,
6 Corbet Place,
London,
United Kingdom,
E1 6NN",4096157,"46420,
47710",10.4,0,0,0,0,0,38,62,44,56,42,58,43,57,https://images.allsaints.com/static/Gender-Pay-Gap-v2.pdf,Peter Wood (CEO),1000 to 4999,ALL SAINTS RETAIL LIMITED,FALSE
ALL SQUARE LIMITED,"Cleanology House 7 Lion Yard,
Tremadoc Road,
Clapham,
London,
United Kingdom,
SW4 7NQ",2191991,"80100,
81100,
81210",4.9,0.7,63.2,41.5,4.8,3.2,33.6,66.4,48.2,51.8,41.8,58.2,46.8,53.2,https://www.cleanology.com/about-us/gender-pay-gap-report,Jade Collazo (Company Secretary),500 to 999,ALL SQUARE LIMITED,FALSE
ALL STAR LEISURE (GROUP) LIMITED,"8 Gate Street,
Descartes House, 2nd Floor,
London,
England,
WC2A 3HP",5932608,46190,4.3,2.2,64,16.4,24,32.1,56.3,43.7,63.4,36.6,69,31,57.7,42.3,https://www.allstarlanes.co.uk/sites/default/files/All%20Star%20Leisure%20narrative%20-%202018.pdf,Meera Depala (Finance Director),250 to 499,ALL STAR LEISURE (GROUP) LIMITED,FALSE
ALLEN & OVERY (SSF) LIMITED,"One Bishops Square,
London,
United Kingdom,
E1 6AD",7462843,82990,13.8,16,53.1,31.5,64.2,69.4,29,71,39,61,54,46,54,46,http://www.allenovery.com/SiteCollectionDocuments/UK%20Pay%20Gap%20Report%202018l.pdf,Sasha Hardman (Global HR Director),250 to 499,ALLEN & OVERY (SSF) LIMITED,FALSE
ALLEN & OVERY SERVICE COMPANY LIMITED,"One,
Bishops Square,
London,
United Kingdom,
E1 6AD",2158783,74990,20,32.8,45.3,28,74.8,79.6,27,73,38,62,43,57,50,50,http://www.allenovery.com/SiteCollectionDocuments/UK%20Pay%20Gap%20Report%202018l.pdf,Sasha Hardman (Global HR Director),1000 to 4999,ALLEN & OVERY SERVICE COMPANY LIMITED,FALSE
ALLEYN'S SCHOOL,"Alleyn's School, Townley Road,
London,
England,
SE22 8SU",9401357,"85200,
85310",11.3,6.5,-164,-20,7.2,2.4,28.9,71.1,39.5,60.5,32.5,67.5,45.6,54.4,https://www.alleyns.org.uk/senior-school/aboutalleyns/our-team/gender-pay-gap,David Wicksteed (Head of HR),250 to 499,ALLEYN'S SCHOOL,FALSE
ALLFORD HALL MONAGHAN MORRIS LIMITED,"Morelands,
5 - 23 Old Street,
London,
United Kingdom,
EC1V 9HL",7155322,71111,24.9,16.7,35.2,22.5,79.4,72.4,47.3,52.7,53.3,46.7,65.2,34.8,76.1,23.9,https://www.ahmm.co.uk/userfiles/file/AHMM_Gender%20Pay%20Gap%20Report%202018(1).pdf,Peter Morris (Managing Director),250 to 499,ALLFORD HALL MONAGHAN MORRIS LIMITED,FALSE
ALLIANCE CLEANING LIMITED,"Unit 5 Waterways Business Centre,
South Ordnance Road,
Enfield,
Middlesex,
EN3 6JG",3596969,81299,-3,-2,62,62,56,60,38,62,38,62,32,68,31,69,,Annette Day (Finance Manager),500 to 999,ALLIANCE CLEANING LIMITED,FALSE
ALLIANCE HEALTHCARE MANAGEMENT SERVICES LIMITED,"43 Cox Lane,
Chessington,
Surrey,
United Kingdom,
KT9 1SN",7073443,82990,8,9,21,0,93,92,45,55,66,34,73,27,66,34,http://www.alliance-healthcare.co.uk/about-us/our-csr-activities,Pablo Rivas (Finance Director),"5000 to 19,999",ALLIANCE HEALTHCARE MANAGEMENT SERVICES LIMITED,FALSE
ALLIANZ GLOBAL CORPORATE & SPECIALTY AG,"Allianz House 60 Gracechurch Street,
London,
EC3V 0HR",BR006950,,32,37,74,50,96,92,40,60,60,40,73,27,85,15,https://www.agcs.allianz.com/content/dam/onemarketing/agcs/agcs/countries/agcs-uk/AGCS-UK-Gender-Pay-Gap-2018.pdf,Sinéad Browne (AGCS UK CEO and Chief Regions Markets Officer),250 to 499,ALLIANZ GLOBAL CORPORATE & SPECIALTY AG,FALSE
"ALLIANZ GLOBAL INVESTORS GMBH, UK BRANCH","199 Bishopsgate,
London,
EC2M 3TY",BR009058,,17.2,27.8,39.4,51.8,95.9,91.9,47.5,52.5,50.8,49.2,70.5,29.5,72.9,27.1,https://www.allianzgi.com/api/sitecore/documentlibrary/Download?item=71493493-5dcd-4a3e-ae98-307f68485ab0&field=Document,Petra Trautschold (Global Head of HR),Less than 250,"ALLIANZ GLOBAL INVESTORS GMBH, UK BRANCH",FALSE
ALLIES AND MORRISON LLP,"83-85 Southwark Street,
London,
United Kingdom,
SE1 0HX",OC404597,,12.9,7,29,34,37,29,47,53,52,48,51,49,66,34,http://www.alliesandmorrison.com/wp-content/uploads/2019/03/2018_Allies-and-Morrison_Gender-Pay-Report_final.pdf,Joanna Bacon (Managing Partner),250 to 499,ALLIES AND MORRISON LLP,FALSE
ALLPORT CARGO SERVICES LIMITED,"Allport House 1 Cowley Business Park,
High Street,
Cowley,
Middlesex,
United Kingdom,
UB8 2AD",772941,52290,20,2.5,78,0,83,84,52,48,59,41,46,54,69,31,,Valerie Glynn (HR Director),500 to 999,ALLPORT CARGO SERVICES LIMITED,FALSE
ALPENBEST LIMITED,"60 Wensleydale Road,
Hampton,
Middlesex,
TW12 2LX",6528232,88100,-0.6,-0.9,NA,NA,0,0,37,63,21,79,24,76,27,73,,Akbar Dhala (Director),250 to 499,ALPENBEST LIMITED,FALSE
ALPHA HEALTH CARE LIMITED,"23 Buckingham Gate,
London,
England,
SW1E 6LB",3531876,86900,10.6,3.8,0,0,0,2.6,10.3,89.7,7.3,92.7,4.2,95.8,22.9,77.1,http://www.alphacarehomes.com,Mark Tomalin (Chief Executive Officer),250 to 499,ALPHA HEALTH CARE LIMITED,FALSE
ALPHA PLUS GROUP LIMITED,"50 Queen Anne Street,
Marylebone,
London,
United Kingdom,
W1G 8HJ",438111,"85100,
85200,
85310,
85600",17.1,16.4,-21.3,-100,2.3,1.5,45.4,54.6,32.6,67.4,26.9,73.1,25.2,74.8,,Paul Brereton (HR Director),1000 to 4999,ALPHA PLUS GROUP LIMITED,FALSE
ALPHA RESPONSE (2004) LIMITED,"245 Main Road,
Sidcup,
Kent,
United Kingdom,
DA14 6QS",5016157,81210,2,2,73,0.3,11.3,5.4,46.4,53.6,53.9,46.1,68.3,31.7,66.7,33.3,http://www.redsupportservices.com/,Andrea Wilson (Managing Director),500 to 999,ALPHA RESPONSE (2004) LIMITED,FALSE
ALSTOM TRANSPORT UK LIMITED,"The Place,
175 High Holborn,
London,
United Kingdom,
WC1V 7AA",8462831,"30200,
33170,
42120",20,23.2,21.2,-12.8,42.6,38.2,73.2,26.8,92.1,7.9,92.9,7.1,93.5,6.5,https://www.alstom.com/sites/alstom.com/files/2019/04/01/UK%20Gender%20Pay%20Report%202018.pdf,Andrew Jackson (HR Director),1000 to 4999,ALSTOM TRANSPORT UK LIMITED,FALSE
ALTEN LTD,"1st, Floor 41 Moorgate,
London,
United Kingdom,
EC2R 6PP",8452862,74909,8.1,5.7,57.4,-73,26.6,23.5,83,17,84.9,15.1,84.8,15.2,91.4,8.6,,Olivier Parsat (Chief Financial Officer),250 to 499,ALTEN LTD,FALSE
ALZHEIMER'S SOCIETY,"43-44 Crutched Friars,
London,
England,
EC3N 2AE",2115499,"86900,
88990,
94990",15.9,16.1,NA,NA,0,0,11.5,88.5,11,89,21,79,28,72,https://www.alzheimers.org.uk/about-us/gender-pay-gap,Jeremy Hughes (CEO),1000 to 4999,ALZHEIMER'S SOCIETY,FALSE
AMAZON DEVELOPMENT CENTRE (LONDON) LIMITED,"1 Principal Place,
Worship Street,
London,
England,
EC2A 2FA",4543232,82990,13.8,11.4,3.6,12.5,98.9,99,76.6,23.4,87.7,12.3,84.4,15.6,87.7,12.3,https://www.aboutamazon.co.uk/diversity,Ben Farmer (Sr. Manager Human Resources),500 to 999,AMAZON DEVELOPMENT CENTRE (LONDON) LIMITED,FALSE
"AMAZON EU SARL, UK BRANCH","1 Principal Place,
London,
Worship Street,
EC2A 2FA",BR017427,,14.1,16.1,33.4,26.5,98.5,98.9,40.4,59.6,48.2,51.8,56.7,43.3,61.8,38.2,https://www.aboutamazon.co.uk/diversity,Ben Farmer (Sr. Manager Human Resources),1000 to 4999,"AMAZON EU SARL, UK BRANCH",FALSE
AMAZON ONLINE UK LIMITED,"1 Principal Place,
Worship Street,
London,
EC2A 2FA",8725411,74909,14.3,9.4,29.1,16,97.4,95.9,48.5,51.5,50.7,49.3,62.7,37.3,65.2,34.8,https://www.aboutamazon.co.uk/diversity,Ben Farmer (Sr. Manager Human Resources),250 to 499,AMAZON ONLINE UK LIMITED,FALSE
Amazon UK Services Ltd.,"1 Principal Place,
Worship Street,
London,
United Kingdom,
EC2A 2FA",3223028,82990,0.5,0,-3.8,3.4,51.9,53.7,70.9,29.1,67.7,32.3,70.7,29.3,70.7,29.3,https://www.aboutamazon.co.uk/diversity,Ben Farmer (Sr. Manager Human Resources),"5000 to 19,999",Amazon UK Services Ltd.,FALSE
AMAZON WEB SERVICES UK LIMITED,"1 Principal Place,
Worship Street,
London,
EC2A 2FA",8650665,74909,25.8,20.1,32,45.6,97.6,96.9,64.9,35.1,80,20,88.4,11.6,85.8,14.2,https://www.aboutamazon.co.uk/diversity,Ben Farmer (Sr. Manager Human Resources),500 to 999,AMAZON WEB SERVICES UK LIMITED,FALSE
Ambitious About Autism,"Pears National Centre For Autism Education,
Woodside Avenue,
London,
England,
N10 3JA",3375255,85590,-3.5,1.1,0,0,41.5,58.5,24.1,75.9,15.2,84.8,23.2,76.8,22.2,77.8,https://www.ambitiousaboutautism.org.uk/organisational-policies-and-reports,Jolanta Lasota (Chief Executive),250 to 499,Ambitious About Autism,FALSE
Ambitious about Autism Schools Trust,"The Pears National Centre for Autism Education,
Woodside Avenue,
London,
N10 3JA",8335297,"85200,
85310,
85320",-15.9,-22.9,NA,NA,0,100,50,50,25,75,7.7,92.3,21.4,78.6,https://www.ambitiousaboutautism.org.uk/organisational-policies-and-reports,Jolanta Lasota (Chief Executive),Less than 250,Ambitious about Autism Schools Trust,FALSE
"AMERICAN AIRLINES, INC.","Waterside Haa3,
West Drayton,
Harmondsworth,
UB7 0GB",BR002223,,15.4,4.7,0,6.3,94.9,97,43.2,56.8,55.9,44.1,35.7,64.3,66.7,33.3,,"Lisa Banks (Manager, People Business Partners)","20,000 or more","AMERICAN AIRLINES, INC.",FALSE
AMERICAN EXPRESS EUROPE LLC,"Belgrave House 76 Buckingham Palace Road,
London,
SW1W 9AX",BR000897,,17.4,16.3,54.4,34.3,75.3,80.5,28.1,71.9,30.6,69.4,34.7,65.3,53.3,46.7,https://www.americanexpress.com/uk/legal/gender-pay-reporting.html,Charlotte Duerden (UK Managing Director),250 to 499,AMERICAN EXPRESS EUROPE LLC,FALSE
AMERICAN EXPRESS PAYMENT SERVICES LIMITED,"Belgrave House,
76 Buckingham Palace Road,
London,
United Kingdom,
SW1W 9AX",6301718,82990,9.3,17.9,21.9,45.8,82,81.3,34.8,65.2,41.6,58.4,43.4,56.6,47.8,52.2,https://www.americanexpress.com/uk/legal/gender-pay-reporting.html,Charlotte Duerden (UK Managing Director),250 to 499,AMERICAN EXPRESS PAYMENT SERVICES LIMITED,FALSE
AMERICAN EXPRESS SERVICES EUROPE LIMITED,"Belgrave House,
76 Buckingham Palace Road,
London,
United Kingdom,
SW1W 9AX",1833139,82990,12.7,15.7,37.2,34,76.9,68.2,41.4,58.6,47.4,52.6,51.6,48.4,56.8,43.2,https://www.americanexpress.com/uk/legal/gender-pay-reporting.html,Charlotte Duerden (UK Managing  Director),1000 to 4999,AMERICAN EXPRESS SERVICES EUROPE LIMITED,FALSE
AMERICAN SCHOOL IN LONDON EDUCATIONAL TRUST LIMITED(THE),"1 Waverley Place,
London,
United Kingdom,
NW8 0NP",784923,85590,18.8,4,-35,-69,4,2,40,60,35,65,44,56,41,59,https://www.asl.org/about/employment/gender-pay-gap,John Robinson (Director of Finance),250 to 499,AMERICAN SCHOOL IN LONDON EDUCATIONAL TRUST LIMITED(THE),FALSE
AMH FAMILY ENTERPRISE LIMITED,"THE ACCOUNTING CENTRE, FIRST FLOOR,
736 High Road,
North Finchley,
London,
England,
N12 9QD",8178566,47290,2.3,-1.7,50.3,60.2,7.7,13,56.9,43.1,55.2,44.8,39.7,60.3,50,50,,Ali El Hajj (Director),250 to 499,AMH FAMILY ENTERPRISE LIMITED,FALSE
AMNESTY INTERNATIONAL LIMITED,"1 Easton Street,
London,
United Kingdom,
WC1X 0DW",1606776,94990,8.9,8.5,NA,NA,0,0,24.4,75.6,25.3,74.7,31.3,68.7,44,56,https://www.amnesty.org/en/about-us/gender-pay-gap/,Benjamin Verron (International Reward Manager),250 to 499,AMNESTY INTERNATIONAL LIMITED,FALSE
AMORE (WATTON) LIMITED,"Fifth Floor,
80 Hammersmith Road,
London,
United Kingdom,
W14 8UD",6773612,87300,-7.4,1.2,NA,NA,0,0.6,12.7,87.3,18.2,81.8,21.6,78.4,11.4,88.6,https://www.priorygroup.com/gender-pay-gap-report,Trevor Torrington (CEO),500 to 999,AMORE (WATTON) LIMITED,FALSE
AMORE ELDERLY CARE LIMITED,"Fifth Floor,
80 Hammersmith Road,
London,
United Kingdom,
W14 8UD",6660776,87300,6.7,4.3,NA,NA,0,0.2,12.3,87.7,12.6,87.4,16.9,83.1,15.1,84.9,https://www.priorygroup.com/gender-pay-gap-report,Trevor Torrington (CEO),500 to 999,AMORE ELDERLY CARE LIMITED,FALSE
AMT COFFEE LIMITED,"5th Floor 1 Knightsbridge Green,
London,
England,
SW1X 7NE",2857483,56290,2.5,4,-26.8,0,70.6,65.4,32.9,67.1,36.5,63.5,34.1,65.9,43.5,56.5,,Sarah Walia (Head of HR),250 to 499,AMT COFFEE LIMITED,FALSE
AMTRUST MANAGEMENT SERVICES LIMITED,"Exchequer Court, 33 St Mary Axe,
London,
England,
EC3A 8AA",4720855,82990,43.4,37.9,60.1,85.9,23.4,15.4,43.7,56.3,49.4,50.6,64.2,35.8,81.1,18.9,,Peter Dewey (Chief Executive Officer),500 to 999,AMTRUST MANAGEMENT SERVICES LIMITED,FALSE
ANCASTER GROUP LIMITED,"61 Croydon Road,
Penge,
London,
SE20 7TF",475853,"45111,
45112,
45200,
45310",31,14.2,62.7,37.3,85.1,58.1,68.1,31.9,70.8,29.2,76.1,23.9,91.7,8.3,https://www.ancaster.co.uk/gender-pay-reporting.aspx,David Bourne (Finance Director),250 to 499,ANCASTER GROUP LIMITED,FALSE
ANCHOR CAREHOMES LIMITED,"The Heals Building Suites A & B,
Torrington Place,
London,
United Kingdom,
WC1E 7HJ",4598002,87300,-0.3,-9.6,NA,NA,0,0,11.7,88.3,6.3,93.7,8,92,9.7,90.3,https://www.anchorhanover.org.uk/,Jane Ashcroft (Chief Executive),1000 to 4999,ANCHOR CAREHOMES LIMITED,FALSE
ANCHOR TRUST,"The Heals Building Suites A & B, 3rd Floor,
22-24 Torrington Place,
London,
United Kingdom,
WC1E 7HJ",3147851,"68201,
68320,
87300,
88990",20.4,6.6,-62.2,64.9,0.5,3.1,15.1,84.9,14.1,85.9,12.7,87.3,21.7,78.3,https://www.anchorhanover.org.uk/,Jane Ashcroft (Chief Executive),"5000 to 19,999",ANCHOR TRUST,FALSE
ANGARD STAFFING SOLUTIONS LIMITED,"100 Victoria Embankment,
London,
EC4Y 0HQ",5770579,78200,-0.8,-0.9,0,0,0,0,65,35,61,39,61,39,62,38,https://angardstaffing.co.uk/gender-pay-gap-report/,Jon Millidge (Company Director),1000 to 4999,ANGARD STAFFING SOLUTIONS LIMITED,FALSE
ANGEL HUMAN RESOURCES LIMITED,"Angel House, 4 Union Street,
London,
SE1 1SZ",1848414,78200,0,0,NA,NA,0,0,50,50,50,50,49.8,50.2,50.2,49.8,HTTP://WWW.ANGELHR.ORG,DANNY MERRISON (FINANCE MANAGER),500 to 999,ANGEL HUMAN RESOURCES LIMITED,FALSE
ANGELA MORTIMER PLC,"76 Wardour Street,
London,
United Kingdom,
W1F 0UR",1205549,78200,-4,-18,-126,-841,5,6.3,25,75,13,87,11,89,9,91,,Jo Barnard (Operations Manager),1000 to 4999,ANGELA MORTIMER PLC,FALSE
Anglo American Services (UK) Ltd.,"20 Carlton House Terrace,
London,
United Kingdom,
SW1Y 5AN",2295324,82990,51.9,41.2,71.8,78.2,93,82,24.7,75.3,53.4,46.6,68.5,31.5,82.2,17.8,https://www.angloamerican.com/sustainability/our-people/gender-pay-gap-report-uk,Richard Price (Group General Counsel & Company Secretary),250 to 499,Anglo American Services (UK) Ltd.,FALSE
ANKH CONCEPTS HOSPITALITY MANAGEMENT LIMITED,"30 Argyll Street,
London,
United Kingdom,
W1F 7EB",6603179,78300,8.7,1.9,49,26.9,3.3,1.4,67,33,59.2,40.8,60.2,39.8,74,26,,Robert Dunning (HR Director),250 to 499,ANKH CONCEPTS HOSPITALITY MANAGEMENT LIMITED,FALSE
ANOTECH ENERGY GLOBAL SOLUTIONS LIMITED,"3rd Floor Fairgate House,
78 New Oxford Street,
London,
United Kingdom,
WC1A 1HB",5946260,70229,20,24,NA,NA,0,0,93.8,6.2,96.4,3.6,99.1,0.9,98.2,1.8,,Jean-Michel CLERC (Administrative and Finance Manager),250 to 499,ANOTECH ENERGY GLOBAL SOLUTIONS LIMITED,FALSE
ANSCHUTZ SPORTS HOLDINGS LTD.,"The O2, Peninsula Square,
London,
SE10 0DX",3469870,"70100,
90020,
90040",43.6,36.8,61.9,31,39,22,34,66,27,73,55,45,72,28,,"Alex Hill (President, AEG Europe)",250 to 499,ANSCHUTZ SPORTS HOLDINGS LTD.,FALSE
ANTALIS LIMITED,"100 New Bridge Street,
London,
EC4V 6JA",1088345,70100,29.6,4.7,-44.1,-196.7,73.6,84.6,67.1,32.9,79.3,20.7,74.3,25.7,78.1,21.9,https://www.antalis.co.uk/business/home/about-us/about-antalis-uk/uk-equal-pay-report.html,Rachel Peacock (HR Director),1000 to 4999,ANTALIS LIMITED,FALSE
Anthony Nolan,"The Royal Free Hospital,
Pond Street,
Hampstead,
London,
United Kingdom,
NW3 2QG",2379280,86900,9.3,11.9,NA,NA,0,0,30,70,24,76,27,73,41,59,http://www.anthonynolan.org/gender_pay_gap_report_1819,Henny Braund (Chief Executive),250 to 499,Anthony Nolan,FALSE
AON HEWITT LIMITED,"The Aon Centre The Leadenhall Building,
122 Leadenhall Street,
London,
United Kingdom,
EC3V 4AN",4396810,70229,31.1,29.7,70.2,58.7,80.2,74.3,45.9,54.1,47.4,52.6,57.3,42.7,75.7,24.3,http://www.aon.com/ukgenderpaygap,"James Harwood (Head of Reward, EMEA)",1000 to 4999,AON HEWITT LIMITED,FALSE
AON UK LIMITED,"The Aon Centre The Leadenhall Building,
122 Leadenhall Street,
London,
United Kingdom,
EC3V 4AN",210725,66220,39.8,32.7,76.5,55.3,84,81.5,44.2,55.8,51,49,64.9,35.1,79.7,20.3,http://www.aon.com/ukgenderpaygap,"James Harwood (Head of Reward, EMEA)",1000 to 4999,AON UK LIMITED,FALSE
APACHE NORTH SEA PRODUCTION LIMITED,"27/28 Eastcastle Street,
London,
United Kingdom,
W1W 8DH",7720972,82990,34.4,38.7,27.8,8,80.1,89.9,56.9,43.1,93.8,6.2,96.6,3.4,95.2,4.8,http://www.apachecorp.com/Operations/UK_North_Sea/Other_Information/index.aspx,Jon Graham (Managing Director and Regional Vice President),500 to 999,APACHE NORTH SEA PRODUCTION LIMITED,FALSE
APCOA PARKING (UK) LIMITED,"Wellington House,
4-10 Cowley Road,
Uxbridge,
Middlesex,
United Kingdom,
UB8 2XW",2572947,82990,-3.1,-3.3,-64.3,-3.9,4.1,3.9,38,62,79.1,20.9,22,78,77,23,,Glen Horton (Human Resources Director - UK & Ireland),1000 to 4999,APCOA PARKING (UK) LIMITED,FALSE
APLEONA HSG LIMITED,"Fifth Floor City Reach,
5 Greenwich View Place,
London,
England,
E14 9NN",4073907,81100,14.9,6,90.7,66.7,4.8,5.4,52.2,47.8,58.6,41.4,49.5,50.5,73.2,26.8,,Jane Podmore (HR Director),1000 to 4999,APLEONA HSG LIMITED,FALSE
APOLLO CLEANING SERVICES LIMITED,"Unit 7 Bourne Court,
Southend Road,
Woodford Green,
Essex,
England,
IG8 8HD",1197218,81299,1.8,0,0,0,0,0,29.2,70.8,22,78,20.6,79.4,19.9,80.1,,Richard Lundy (MD),500 to 999,APOLLO CLEANING SERVICES LIMITED,FALSE
APPLE (UK) LIMITED,"100 New Bridge Street,
London,
United Kingdom,
EC4V 6JA",1591116,62090,15,15,45,42,93,85,57,43,67,33,79,21,74,26,https://www.apple.com/legal/more-resources/docs/uk-gender-pay-gap-report-2018.pdf,Peter Denwood (Director),250 to 499,APPLE (UK) LIMITED,FALSE
APPLE EUROPE LIMITED,"100 New Bridge Street,
London,
United Kingdom,
EC4V 6JA",5051046,82990,22,17,41,26,94,93,53,47,70,30,70,30,77,23,https://www.apple.com/legal/more-resources/docs/uk-gender-pay-gap-report-2018.pdf,Peter Denwood (Director),500 to 999,APPLE EUROPE LIMITED,FALSE
APPLE RETAIL UK LIMITED,"5th Floor 6 St Andrew Street,
London,
United Kingdom,
EC4A 3AE",4996702,82990,5,11,6,28,91,88,63,37,67,33,77,23,76,24,https://www.apple.com/legal/more-resources/docs/uk-gender-pay-gap-report-2018.pdf,Peter Denwood (Director),1000 to 4999,APPLE RETAIL UK LIMITED,FALSE
APPPAY UMBRELLA  LIMITED,"72, Wilson Street,
London,
United Kingdom,
EC2A 2DH",10841700,78200,-2,-41.8,NA,NA,0,0,49.8,50.2,49.8,50.2,49.8,50.2,49.8,50.2,,James Slate (Managing Director),250 to 499,APPPAY UMBRELLA  LIMITED,TRUE
APPT CORPORATION LIMITED,"Mcdonald's,
Uxbridge Road Iron Bridge,
Southall,
Middlesex,
United Kingdom,
UB1 3EG",5812951,56102,5,2,33,48,6,2,43,57,28,72,46,54,51,49,https://www.apptcorp.com/,Aycan Ergur (HR Manager),1000 to 4999,APPT CORPORATION LIMITED,FALSE
Aquinas CE Education Trust,"Magpie Hall Lane,
Bromley,
BR2 8HZ",,1,22.7,45.6,0,0,0,0,12.2,87.8,4.4,95.6,21.6,78.4,17.8,82.2,https://www.aquinastrust.org,,500 to 999,Aquinas CE Education Trust,FALSE
ARAVAN LIMITED,"120-122 Becontree Avenue,
Dagenham,
Essex,
United Kingdom,
RM8 2TS",2602636,81210,3.6,-0.3,NA,NA,0,0,28.6,71.4,36,64,32,68,30.8,69.2,http://www.servicemasterlondon.com/files/Gender%20Pay%20Gap%20Report%20-%202018.pdf,Patrick Tolan (Managing Director),250 to 499,ARAVAN LIMITED,FALSE
"ARBUTHNOT LATHAM & CO., LIMITED","Arbuthnot House,
7 Wilson Street,
London,
United Kingdom,
EC2M 2SN",819519,64999,42.7,40.9,70.9,60,75.3,74.5,37.8,62.2,45.6,54.4,55.6,44.4,86.7,13.3,http://www.arbuthnotlatham.co.uk/corporate-policies/,Daniel Dagg (Chief Operating Officer),250 to 499,"ARBUTHNOT LATHAM & CO., LIMITED",FALSE
ARCADIA GROUP LIMITED,"Colegrave House,
70 Berners Street,
London,
United Kingdom,
W1T 3NL",237511,"47710,
70100",40.4,7.7,67.5,27.1,14.2,15.4,15,85,9,91,11,89,27,73,https://www.arcadiagroup.co.uk/gender-pay-gap-report,Siobhan Forey (Chief HR Officer),"5000 to 19,999",ARCADIA GROUP LIMITED,FALSE
ARCADIS HUMAN RESOURCES LIMITED,"Arcadis House,
34 York Way,
London,
England,
N1 9AB",3021358,"71122,
74901,
74902,
74909",21.2,24.8,25.9,13.3,56.9,57.3,60.8,39.2,63.1,36.9,77.1,22.9,85.3,14.7,https://www.arcadis.com/en/united-kingdom/who-we-are/business-practices/arcadis-gender-pay-report/,Lucy England (Arcadis UK HR Director),1000 to 4999,ARCADIS HUMAN RESOURCES LIMITED,FALSE
Architectural Association (Incorporated),"34-36 Bedford Square,
London,
United Kingdom,
WC1B 3ES",171402,"85421,
85422,
85520",-1.5,0,0,0,20,27,60.3,39.7,61.5,38.5,56.4,43.6,55.8,44.2,https://www.aaschool.ac.uk/Downloads/CompanyInformation/Architectural-Association-Inc-Gender-Pay-Gap-April-2018.pdf,Eva Franch i Gilabert (School Director),250 to 499,Architectural Association (Incorporated),FALSE
ARCUS FACILITIES SERVICES  LIMITED,"Enterprise House, 168-170 Upminster Road,
Upminster,
Essex,
United Kingdom,
RM14 2RB",10191715,81100,6.9,0,NA,NA,0,0,53.4,46.6,52.6,47.4,52.6,47.4,55.6,44.4,https://arcusfm.com/reports/arcus-facilities-services-limited-gender-pay-gap-report-2018/,Samantha Lambton (HR Operations Director),1000 to 4999,ARCUS FACILITIES SERVICES  LIMITED,FALSE
ARCUS FM LIMITED,"Enterprise House 168-170 Upminster Road,
Upminster,
Essex,
United Kingdom,
RM14 2RB",6475835,68320,16.2,27.5,10.9,19.2,83.8,66.3,59.7,40.3,89,11,94.7,5.3,81.9,18.1,https://arcusfm.com/reports/arcus-fm-limited-gender-pay-gap-report-2018/,Samantha Lambton (HR Operations Director),1000 to 4999,ARCUS FM LIMITED,FALSE
ARDENT HIRE SOLUTIONS LIMITED,"Ardent House, 32 Crown Road,
Enfield,
Middlesex,
England,
EN1 1TH",3987596,77320,26,16.1,44.6,63.8,58,60,65,35,92,8,86,14,82,18,https://www.ardenthire.com/file/gender-pay-gap-report-17-18.pdf,Jeremy Fish (CEO),250 to 499,ARDENT HIRE SOLUTIONS LIMITED,FALSE
ARDMORE CONSTRUCTION LIMITED,"6 Wharf Studios,
28 Wharf Road,
London,
England,
N1 7GR",1185592,41201,30,33.6,87,83,12,20,56,44,69,31,79,21,87,13,http://www.ardmoregroup.co.uk/site2016/wp-content/uploads/2016/02/Ardmore-Gender-Pay-Report-2018.pdf,Carolyn Banner (HR Director),250 to 499,ARDMORE CONSTRUCTION LIMITED,FALSE
ARENA RACING CORPORATION LIMITED,"4th Floor,
Millbank Tower 21-24 Millbank,
London,
United Kingdom,
SW1P 4QP",7997040,82990,11.8,2.7,82.9,54.4,17.4,26,46.2,53.8,62.4,37.6,68.2,31.8,61.2,38.8,https://www.arenaracingcompany.co.uk/media-centre/resources/,Martin Cruddace (CEO),1000 to 4999,ARENA RACING CORPORATION LIMITED,FALSE
ARGUS MEDIA LIMITED,"Lacon House,
84 Theobald's Road,
London,
United Kingdom,
WC1X 8NL",1642534,58190,26.8,10.1,40.2,26.3,21.4,23,54.6,45.4,65.9,34.1,60.2,39.8,73.9,26.1,https://www.argusmedia.com/-/media/Files/other/argus-gender-pay-gap-report,Adrian Binks (Chairman and CEO),250 to 499,ARGUS MEDIA LIMITED,FALSE
